state,county,fips,county_population,age65andolder_pct,median_hh_inc,density_pop,rural_pct,beds_per_1k,demo_rent_burden_pct,demo_home_value_usd,demo_median_rent_usd,demo_uninsured_pct,demo_disability65_pct,demo_health_access_per_1k,demo_risk_index
Alabama,Autauga,01001,55049.0,13.978456,53099.0,91.800003,42.002163,0.9991098839215972,27.496403408759893,171261.07550514353,1216.692937168118,7.128683850844462,33.76764630684914,0.9991098839215972,0.2080250398046105
Alabama,Baldwin,01003,199510.0,18.714851,51365.0,114.6,42.279099,1.8144453912084606,27.428276478104706,169474.44773128742,1174.044517748207,6.732346024571235,32.41614597843333,1.8144453912084606,-0.6334937161623599
Alabama,Barbour,01005,26614.0,16.528894,33956.0,31.0,67.789635,1.1272262718869768,30.795580670789057,90000.0,871.412281047761,11.182299325152139,38.34020329691271,1.1272262718869768,1.6065525871493591
Alabama,Bibb,01007,22572.0,14.885699,39776.0,36.799999,68.352608,1.1075668970405812,30.31328965790543,99958.04937471612,1004.7845078607053,10.643874489813637,36.27562967474203,1.1075668970405812,1.048553501162339
Alabama,Blount,01009,57704.0,17.192915,46212.0,88.900002,89.9515,0.43324552890614165,31.073639241549802,141938.48512659437,1196.6458471920828,10.207069935949072,35.169508000406104,0.43324552890614165,0.3804665602953275
Alabama,Bullock,01011,10552.0,15.134572,29335.0,17.5,51.374382,2.843062926459439,30.657730202026357,90000.0,749.453762897036,11.702376984273517,40.491754609068025,2.843062926459439,2.486857403715758
Alabama,Butler,01013,20280.0,18.126232,34315.0,27.0,71.232155,2.1696252465483234,30.05247843009908,90000.0,859.3756644407083,10.82104287211329,38.0426562713403,2.1696252465483234,1.5265537904500055
Alabama,Calhoun,01015,115883.0,15.930723,41954.0,195.7,33.696827,3.563939490693199,31.611666495137065,141557.01863112938,1105.196546780817,9.057149587355116,35.042148029142574,3.563939490693199,0.6270187975277325
Alabama,Chambers,01017,34018.0,18.387325,36027.0,57.400002,49.148033,0.0,31.343467314087736,95594.73488631105,941.0092474371991,10.639964949329585,37.18859095013659,0.0,1.4070999360121537
Alabama,Cherokee,01019,25897.0,20.322817,38925.0,46.900002,85.736275,1.7376530100011585,30.86595362896775,101723.2545860495,1001.2143708396412,10.835206158300359,35.73039504387567,1.7376530100011585,0.46304660769427464
Alabama,Chilton,01021,43817.0,15.249789,42594.0,63.0,86.74472,0.5933769997946002,30.69507178520671,120562.28023854281,1089.5215730159123,10.334928046978204,35.93904877203312,0.5933769997946002,0.7861185513115267
Alabama,Choctaw,01023,13287.0,20.749605,32622.0,15.2,100.0,1.8815383457514863,30.396045114388365,90000.0,826.3164864346477,12.056333615708684,38.98703568702553,1.8815383457514863,1.5053801203617543
Alabama,Clarke,01025,24847.0,18.062542,32735.0,20.9,75.980331,2.253793214472572,30.528906968608176,90000.0,832.8031413478238,11.563744172547084,38.041594178376016,2.253793214472572,1.280013041069903
Alabama,Clay,01027,13483.0,19.40221,38815.0,23.1,100.0,3.41170362678929,30.278082381011288,90000.0,979.3698063491278,11.468824652822043,36.4446336792243,3.41170362678929,0.8432191684515353
Alabama,Cleburne,01029,14991.0,18.164232,36316.0,26.700001,100.0,,30.866484230174414,90000.0,934.122701085845,11.693485101042913,35.945616676731234,2.0529427662080506,0.4981030230829236
